sub,harm1,harm2,harm3,fairness1,fairness2,fairness3,Ingroup1,Ingroup2,Ingroup3,Authority1,Authority2,Authority3,Purity1,Purity2,Purity3,sise,E,A_R,C,N_R,O,E_R,A,C_R,N,O_R,mood,subjwell,cogref.1,cogref.2,cogref.3,politics,Country,Weird,Execution
4480,4,2,5,4,4,4,3,4,4,3,4,2,3,5,4,2,4,1,7,2,5,5,7,3,5,2,2,6,1,1,1,5,USA,1,legal
5988,4,4,3,3,3,3,3,4,4,4,3,3,3,3,4,3,5,4,6,6,5,7,6,1,6,4,3,7,1,1,1,4,USA,1,legal
6456,4,5,4,5,6,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,1,1,1,4,Canada,1,illegal
6508,4,4,5,5,6,5,5,4,4,4,4,5,5,5,3,2,4,4,5,4,5,5,5,4,5,5,3,8,1,1,1,4,Canada,1,illegal
6689,4,4,5,6,6,4,6,1,5,4,5,4,3,4,4,4,5,6,6,3,7,3,5,3,6,2,4,3,1,1,1,1,Canada,1,illegal
2854,5,5,3,5,5,5,5,2,2,4,3,5,5,4,2,2,2,5,6,7,6,7,5,5,2,5,4,8,1,1,1,1,Hungary,1,illegal
5298,5,4,4,5,6,3,4,4,3,2,5,5,5,3,4,4,3,4,6,5,3,5,5,2,3,5,4,7,1,1,1,6,Sweden,1,illegal
64,6,6,5,4,4,6,5,6,5,5,5,5,2,4,4,5,7,6,6,1,7,5,7,5,1,1,3,8,1,1,1,5,USA,1,legal
228,6,4,5,4,6,2,2,3,2,1,3,2,1,2,2,3,4,6,6,4,6,5,4,3,5,3,4,7,1,1,1,5,USA,1,legal
235,6,4,6,6,6,3,5,6,5,5,6,4,2,5,3,5,6,4,7,7,6,5,4,2,5,3,2,6,1,1,1,3,USA,1,legal
244,6,5,6,3,NA,4,3,4,4,5,5,5,5,5,4,2,5,5,4,5,5,5,6,4,5,3,4,8,1,1,1,4,USA,1,legal
249,6,4,6,4,6,5,5,5,3,2,5,4,5,5,4,4,4,5,7,5,7,4,5,3,6,2,4,7,1,1,1,5,USA,1,legal
266,6,5,6,5,4,6,4,3,3,5,4,4,3,5,4,3,2,2,1,4,2,6,5,1,7,4,4,4,1,1,1,3,USA,1,legal
317,6,6,6,6,6,6,6,6,6,2,5,6,4,6,6,1,6,4,6,6,6,2,6,5,4,6,4,8,1,1,1,4,USA,1,legal
734,6,6,5,5,6,6,4,5,3,4,4,2,3,4,4,3,3,5,3,5,3,4,5,5,2,5,3,7,1,1,1,4,Canada,1,illegal
1506,6,6,5,5,6,6,5,6,5,1,5,5,6,4,6,3,6,2,2,1,6,1,7,5,3,2,4,8,1,1,1,6,Canada,1,illegal
2264,6,6,6,5,6,6,6,4,4,6,6,6,4,5,6,NA,7,3,7,1,6,2,7,1,7,4,3,3,1,1,1,4,Canada,1,illegal
4819,6,5,6,6,5,6,4,4,4,2,6,6,1,5,3,4,7,7,7,2,6,1,7,2,7,1,3,6,1,1,1,2,Belgium,1,illegal
4862,6,6,6,5,6,6,6,2,5,1,3,2,3,6,6,4,6,2,6,1,7,3,5,6,7,1,3,5,1,1,1,5,Belgium,1,illegal
4902,6,5,5,5,6,6,5,4,4,4,6,5,6,6,6,5,6,6,4,2,5,6,6,1,6,3,4,8,1,1,1,4,Belgium,1,illegal
5037,6,6,3,6,6,5,5,4,4,5,5,6,5,6,6,4,5,3,6,4,6,4,6,2,6,4,3,8,1,1,1,2,The Netherlands,1,illegal
5075,6,6,5,5,3,4,5,4,4,2,4,5,4,4,5,3,6,2,6,4,4,6,6,4,5,3,3,8,1,1,1,6,The Netherlands,1,illegal
5121,6,5,6,5,6,6,4,5,3,3,3,5,4,5,4,2,4,2,6,5,4,6,5,5,5,6,3,9,1,1,1,5,The Netherlands,1,illegal
5211,6,4,6,4,4,6,5,2,4,3,5,6,3,4,5,3,4,2,6,4,5,7,5,1,6,2,3,8,1,1,1,5,The Netherlands,1,illegal
5266,6,4,6,4,6,5,5,3,3,3,5,4,3,5,5,4,2,5,6,1,7,5,3,1,6,1,4,10,1,1,1,1,The Netherlands,1,illegal
5564,6,5,6,6,5,4,3,5,3,2,4,2,6,5,5,3,4,5,5,6,4,2,5,2,2,5,3,6,1,1,1,3,The Netherlands,1,illegal
5612,6,5,6,6,5,5,6,5,5,2,5,5,4,5,5,3,3,2,5,4,6,5,6,5,5,5,3,5,1,1,1,2,The Netherlands,1,illegal
5893,6,3,6,5,6,6,4,3,3,3,2,5,4,3,5,3,1,3,6,4,4,5,4,1,6,4,4,8,1,1,1,3,The Netherlands,1,illegal
5921,6,6,6,NA,6,6,6,4,6,1,NA,NA,3,6,6,3,6,1,5,1,6,6,7,1,7,1,5,9,1,1,1,4,The Netherlands,1,illegal
6018,6,5,5,3,5,5,4,5,3,3,4,2,2,4,2,4,6,2,6,1,6,1,7,1,6,2,2,7,1,1,1,2,Spain,1,illegal
6347,6,6,6,6,5,6,4,6,5,4,4,5,4,6,6,4,6,5,6,2,7,2,6,2,7,2,4,6,1,1,1,3,Hungary,1,illegal
6471,6,4,5,5,5,5,2,4,4,1,3,6,3,4,2,2,6,4,5,6,6,2,6,3,6,4,4,8,1,1,1,2,Hungary,1,illegal
3210,5,5,5,5,4,5,4,4,4,4,5,2,3,5,4,5,6,3,7,2,6,1,5,1,5,2,3,5,1,1,1,2,USA,1,legal
3852,5,4,6,6,6,5,5,1,4,1,4,4,3,4,5,4,6,5,7,1,7,6,6,6,6,4,2,3,1,1,1,3,USA,1,legal
4448,5,NA,6,4,4,5,5,5,6,4,5,4,5,4,5,4,6,2,7,1,6,1,6,1,2,1,4,9,1,1,1,2,USA,1,legal
5090,5,4,6,5,5,5,4,2,4,2,6,5,4,6,5,4,6,5,6,5,6,7,6,3,6,3,4,8,1,1,1,2,USA,1,legal
623,6,6,6,5,5,6,5,4,5,4,5,6,6,6,5,5,5,5,5,5,5,3,5,5,5,5,4,5,1,1,1,2,USA,1,legal
628,6,6,3,6,6,5,6,5,6,3,5,4,4,6,5,4,6,4,6,1,6,5,6,6,7,2,4,8,1,1,1,4,USA,1,legal
698,6,5,6,5,6,5,5,6,5,2,4,4,4,5,5,2,4,4,6,5,5,5,6,1,5,4,4,8,1,1,1,5,USA,1,legal
720,6,6,4,6,6,6,6,2,3,4,5,6,6,5,6,3,6,6,7,7,4,4,4,4,6,6,4,8,1,1,1,4,USA,1,legal
823,6,5,3,5,4,5,5,4,3,3,5,4,5,5,5,3,4,2,4,4,4,4,5,4,5,4,4,5,1,1,1,3,USA,1,legal
860,6,6,6,5,4,6,5,4,5,5,1,6,6,4,5,4,5,2,6,4,5,6,7,5,6,3,4,8,1,1,1,5,USA,1,legal
862,6,6,6,6,6,6,6,4,6,3,6,5,3,4,4,4,2,4,5,5,4,5,5,3,6,3,4,8,1,1,1,7,USA,1,legal
1184,6,1,3,3,5,6,4,4,2,4,2,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,1,1,2,USA,1,legal
1280,6,5,6,4,6,4,4,6,4,4,5,5,4,4,4,2,2,3,5,1,6,2,6,2,6,2,4,8,1,1,1,2,USA,1,legal
1304,6,5,6,5,6,4,5,4,3,2,3,3,3,4,4,3,6,6,5,3,6,2,5,1,4,3,4,9,1,1,1,2,USA,1,legal
1324,6,4,6,4,6,5,5,6,4,4,4,5,5,4,6,1,4,5,5,5,6,5,7,3,4,7,3,6,1,1,1,2,USA,1,legal
1330,6,5,6,5,6,5,5,3,5,6,4,3,5,4,5,1,2,5,3,5,7,6,5,6,4,5,3,3,1,1,1,4,USA,1,legal
1335,6,5,6,4,1,6,5,5,4,5,5,5,4,5,5,3,2,1,6,1,6,3,5,3,5,4,4,9,1,1,1,2,USA,1,legal
1343,6,3,5,5,6,6,3,1,2,2,4,3,2,2,4,4,4,5,5,4,3,3,5,1,5,6,4,8,1,1,1,3,USA,1,legal
1345,6,5,6,3,6,3,5,5,4,4,4,4,4,5,3,2,5,4,6,3,6,5,6,2,5,4,3,7,1,1,1,7,USA,1,legal
1347,6,5,6,5,6,5,2,4,4,3,4,4,4,4,4,4,4,5,5,3,5,2,5,2,6,4,4,8,1,1,1,6,USA,1,legal
1411,6,6,6,5,5,4,5,5,4,4,3,3,5,5,5,4,6,4,6,5,1,2,6,6,4,2,4,8,1,1,1,2,USA,1,legal
1430,6,6,4,6,5,6,4,2,4,5,5,6,4,5,5,1,6,3,4,5,5,6,6,2,5,5,3,3,1,1,1,4,USA,1,legal
1463,6,5,5,5,5,5,4,5,5,2,4,4,4,4,6,2,6,2,4,3,6,2,6,5,5,2,4,7,1,1,1,4,USA,1,legal
1507,6,6,5,5,4,5,5,5,4,2,4,4,4,5,5,1,4,5,5,6,6,5,6,3,4,5,5,10,1,1,1,3,USA,1,legal
1524,6,5,6,6,4,6,4,1,4,1,4,4,6,3,6,4,5,2,3,2,5,6,5,3,5,3,4,2,1,1,1,2,USA,1,legal
1546,6,6,6,4,6,5,4,5,5,1,2,5,2,3,6,3,6,5,3,2,7,2,6,7,6,5,4,8,1,1,1,2,USA,1,legal
1566,6,5,6,4,5,5,4,3,3,2,4,3,5,4,4,2,6,2,5,3,7,4,7,2,5,2,3,7,1,1,1,4,USA,1,legal
1861,6,6,6,4,5,5,5,3,4,2,4,4,4,5,4,3,5,5,3,5,5,2,5,2,5,6,4,6,1,1,1,3,Austria,1,illegal
2731,6,5,6,5,6,4,2,4,5,2,2,4,3,3,5,5,6,1,6,1,7,3,6,1,6,3,4,8,1,1,1,4,Canada,1,illegal
3208,6,5,5,4,4,5,5,3,4,2,5,3,4,5,5,4,2,5,6,5,5,6,6,1,4,3,3,7,1,1,1,4,Canada,1,illegal
3257,6,5,5,3,5,4,2,4,2,4,4,2,2,2,2,4,5,6,7,3,6,5,5,2,7,3,4,3,1,1,1,4,Canada,1,illegal
3280,6,5,6,5,5,4,5,6,4,5,5,4,5,4,4,3,6,5,7,5,6,2,7,4,3,3,3,7,1,1,1,2,Canada,1,illegal
3502,6,4,6,5,6,6,6,4,6,5,5,5,6,6,6,3,2,1,2,2,4,2,7,6,6,4,3,5,1,1,1,2,Canada,1,illegal
3756,6,6,6,6,6,6,6,4,6,1,4,6,6,6,6,1,4,6,5,5,5,7,6,4,2,1,3,7,1,1,1,4,Canada,1,illegal
3783,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,7,5,5,6,7,2,6,4,4,8,1,1,1,6,Canada,1,illegal
4137,6,5,6,5,5,6,5,4,5,1,5,1,3,2,3,4,5,5,6,4,5,2,6,2,6,4,4,9,1,1,1,4,Canada,1,illegal
4809,6,6,5,4,6,5,4,5,2,6,5,6,4,5,5,5,5,2,6,6,5,3,7,2,6,1,3,7,1,1,1,5,Canada,1,illegal
4868,6,5,6,5,6,5,5,4,3,4,5,4,4,3,4,5,7,6,5,1,7,1,5,2,6,1,4,9,1,1,1,6,Canada,1,illegal
6317,6,5,6,5,5,4,5,6,4,1,3,3,5,6,4,4,3,1,6,3,6,6,5,4,7,1,4,8,1,1,1,5,The Netherlands,1,illegal
6334,6,5,5,6,6,5,2,5,5,1,4,3,5,4,5,2,3,2,6,4,6,5,6,5,6,2,4,9,1,1,1,3,The Netherlands,1,illegal
6720,6,5,5,5,6,5,5,2,3,1,4,3,2,3,4,4,3,4,6,3,5,6,5,3,6,2,4,9,1,1,1,5,The Netherlands,1,illegal
6750,6,5,6,5,6,6,1,4,3,1,3,3,3,5,4,4,2,2,5,1,3,7,6,5,6,6,4,7,1,1,1,5,The Netherlands,1,illegal
7047,6,5,6,5,6,6,6,4,4,4,4,4,3,4,3,1,3,1,2,2,6,7,6,6,5,3,3,7,1,1,1,6,Spain,1,illegal
4516,2,4,5,2,3,4,5,5,5,2,5,2,4,4,5,4,5,5,6,3,6,2,6,1,5,1,4,8,1,1,1,3,Hungary,1,illegal
2611,5,4,5,3,5,4,4,2,3,1,4,4,5,4,4,5,5,3,6,2,4,5,5,3,6,5,4,4,1,1,1,1,Sweden,1,illegal
4320,5,4,6,5,5,6,6,4,6,5,5,5,6,4,6,5,5,6,6,7,6,6,7,5,2,4,4,8,1,1,1,2,USA,1,legal
4745,5,5,4,3,5,5,5,3,5,5,5,2,NA,5,3,5,7,7,7,1,7,7,7,1,7,1,4,6,1,1,1,2,USA,1,legal
6058,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,6,6,4,6,5,5,4,2,2,3,8,1,1,1,2,USA,1,legal
7045,5,5,5,5,5,4,6,4,2,4,5,4,2,3,5,2,3,5,5,7,6,6,6,4,3,5,3,8,1,1,1,1,USA,1,legal
7050,5,5,5,6,6,2,2,2,1,2,3,1,3,1,3,4,3,1,5,2,7,6,6,2,6,1,3,7,1,1,1,5,USA,1,legal
7199,5,5,6,4,6,4,5,4,4,3,4,2,4,3,6,4,6,4,6,5,4,2,5,2,4,4,3,7,1,1,1,3,USA,1,legal
28,6,3,4,6,6,5,6,5,6,2,6,4,4,4,4,4,4,4,7,4,5,5,6,4,4,4,4,8,1,1,1,6,USA,1,legal
5248,6,4,5,6,6,5,3,6,6,4,4,3,2,4,2,4,7,7,5,1,7,2,2,6,4,3,4,7,1,1,1,6,USA,1,legal
5254,6,5,6,6,6,6,4,6,5,4,6,6,6,3,6,4,7,2,5,6,7,5,7,1,5,6,4,9,1,1,1,1,USA,1,legal
5268,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,4,6,1,7,4,5,3,7,1,4,2,3,7,1,1,1,1,USA,1,legal
5358,6,5,6,4,6,4,4,5,4,2,4,5,6,3,6,3,2,2,5,5,5,7,6,6,5,4,5,10,1,1,1,4,USA,1,legal
5441,6,6,6,5,6,5,4,5,5,2,4,3,2,3,5,4,6,5,6,3,6,1,6,2,6,1,3,2,1,1,1,4,USA,1,legal
5472,6,5,6,6,6,6,6,6,6,4,5,4,6,6,6,3,6,3,7,2,7,2,6,2,7,3,4,8,1,1,1,4,USA,1,legal
5615,6,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,6,5,5,4,4,4,5,3,5,3,4,8,1,1,1,6,USA,1,legal
5622,6,5,6,6,6,4,3,3,3,3,5,4,2,2,5,2,6,6,5,3,7,3,3,3,4,4,5,10,1,1,1,7,USA,1,legal
5765,6,5,5,6,6,6,4,4,4,1,5,2,3,1,4,3,5,6,3,7,5,5,6,4,1,2,4,7,1,1,1,2,USA,1,legal
5790,6,6,6,5,6,5,5,5,5,5,5,5,4,5,5,5,7,1,6,2,7,1,7,1,6,2,3,1,1,1,1,7,USA,1,legal
5809,6,5,6,4,5,5,5,6,5,4,4,4,4,4,5,3,5,4,6,5,6,2,5,4,3,3,3,7,1,1,1,1,USA,1,legal
5812,6,4,5,4,4,4,3,4,3,1,3,4,4,2,4,2,6,3,6,5,2,5,6,3,4,1,3,6,1,1,1,4,USA,1,legal
5827,6,6,3,6,4,6,4,5,5,3,4,3,6,5,4,3,7,1,6,3,7,5,7,5,5,2,4,7,1,1,1,4,USA,1,legal
5840,6,5,4,4,6,3,4,6,3,4,5,3,3,5,5,2,4,5,5,3,4,3,5,5,5,4,2,1,1,1,1,1,USA,1,legal
5940,6,6,6,6,6,5,4,5,4,4,4,6,4,4,6,1,1,4,5,5,7,7,4,4,1,2,5,7,1,1,1,1,USA,1,legal
5970,6,5,5,6,5,4,2,2,4,4,3,3,4,4,4,5,7,5,6,2,6,2,6,1,5,1,5,7,1,1,1,4,USA,1,legal
6054,6,5,6,5,6,4,5,5,5,4,5,4,5,4,5,2,5,3,6,4,5,4,5,3,5,5,4,7,1,1,1,7,USA,1,legal
6085,6,5,2,4,6,5,2,4,5,2,2,4,2,4,5,2,6,6,5,4,5,2,3,5,4,2,4,9,1,1,1,2,USA,1,legal
6111,6,5,6,6,6,5,3,5,4,2,4,6,4,6,6,4,5,5,5,3,6,4,6,3,4,2,4,8,1,1,1,1,USA,1,legal
6124,6,6,6,6,6,5,6,6,6,2,4,4,6,6,6,2,1,7,3,7,4,7,7,7,1,6,4,8,1,1,1,2,USA,1,legal
6236,6,5,6,6,6,6,4,6,6,5,3,6,6,6,6,5,5,3,7,2,7,7,5,4,7,2,3,2,1,1,1,2,USA,1,legal
6311,6,6,5,6,6,6,6,4,6,1,6,4,4,4,5,4,6,3,7,4,6,5,7,2,7,1,3,10,1,1,1,1,USA,1,legal
6341,6,6,6,6,6,5,4,5,4,2,4,3,3,1,3,5,6,5,6,3,5,1,7,5,5,1,4,1,1,1,1,1,USA,1,legal
6352,6,6,6,6,6,6,6,1,6,1,6,6,6,6,6,5,6,7,7,5,7,7,7,7,7,1,2,6,1,1,1,6,USA,1,legal
6355,6,6,6,6,6,3,5,6,6,6,4,6,5,3,4,1,7,5,6,7,7,1,7,5,1,6,3,5,1,1,1,1,USA,1,legal
6401,6,6,6,6,6,5,5,1,4,1,4,5,3,5,6,3,5,3,6,5,6,5,6,5,4,2,3,7,1,1,1,3,USA,1,legal
6486,6,6,6,5,6,5,5,5,5,5,5,5,5,6,6,5,6,2,7,2,7,2,7,1,7,2,4,9,1,1,1,5,USA,1,legal
6501,6,5,5,5,5,5,3,4,3,3,4,5,4,5,5,3,5,1,6,2,6,2,7,2,4,2,3,6,1,1,1,5,USA,1,legal
6572,6,5,6,3,5,4,5,3,6,4,4,3,2,4,4,1,5,4,6,4,6,5,6,7,3,7,3,8,1,1,1,3,USA,1,legal
6576,6,6,6,6,6,6,6,1,6,5,4,3,1,1,6,4,7,1,7,1,7,1,7,1,2,1,2,1,1,1,1,1,USA,1,legal
6588,6,6,6,6,6,6,6,2,6,6,6,3,4,3,6,4,4,4,6,1,5,5,4,2,7,2,3,5,1,1,1,3,USA,1,legal
6635,6,5,6,4,4,5,4,4,3,3,4,4,5,5,5,3,5,5,3,6,7,5,6,5,5,2,5,10,1,1,1,2,USA,1,legal
6713,6,3,6,5,6,4,1,2,2,1,2,3,3,4,5,1,1,5,7,6,7,6,7,5,2,3,3,3,1,1,1,4,USA,1,legal
6800,6,4,5,6,6,6,2,4,2,1,5,1,4,3,4,4,5,5,6,1,6,5,7,5,7,5,2,3,1,1,1,4,USA,1,legal
6954,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,1,4,3,7,5,5,6,7,1,6,2,2,6,1,1,1,5,Austria,1,illegal
7053,6,5,5,5,NA,5,5,1,4,4,6,4,3,6,6,4,5,3,7,3,6,5,5,2,7,3,3,3,1,1,1,4,Austria,1,illegal
4620,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,7,7,7,1,6,2,3,1,3,5,4,8,1,1,1,6,India,0,legal
1210,4,5,6,2,2,4,4,5,3,4,5,2,NA,NA,2,5,1,NA,2,1,1,2,2,1,1,3,4,8,1,1,1,4,India,0,legal
2957,5,5,5,4,6,5,5,4,4,4,4,3,5,4,4,3,5,3,5,5,5,3,5,5,3,3,4,8,1,1,1,6,India,0,legal
3162,5,5,5,5,5,5,4,4,4,5,5,4,5,5,4,2,7,5,5,5,7,2,7,5,2,1,4,7,1,1,1,4,India,0,legal
3242,5,5,5,5,5,5,6,4,5,4,4,6,5,5,3,3,3,2,6,5,5,5,5,4,3,3,4,8,1,1,1,6,India,0,legal
6778,6,6,6,6,6,6,3,5,3,1,6,1,2,2,3,4,3,1,6,3,6,5,7,5,5,2,3,7,1,1,1,4,India,0,legal
7224,6,6,5,5,5,6,4,3,3,4,5,4,4,5,4,3,6,2,6,3,5,4,6,3,3,2,5,10,1,1,1,1,India,0,legal
1291,5,5,5,5,4,5,6,4,3,3,5,3,5,4,3,3,4,1,7,5,7,5,2,NA,7,5,3,7,1,1,1,3,Turkey,0,illegal
1344,5,5,6,4,4,4,5,5,5,2,4,3,5,2,2,4,6,2,6,2,7,1,5,1,6,5,4,9,1,1,1,2,Turkey,0,illegal
1373,5,5,5,5,4,3,4,5,2,5,4,4,1,2,3,3,2,5,4,6,5,5,6,5,4,3,4,7,1,1,1,3,Turkey,0,illegal
1473,5,4,4,4,5,5,5,4,4,4,5,5,4,3,5,2,7,5,5,3,6,3,6,3,4,3,4,8,1,1,1,4,Turkey,0,illegal
1523,5,6,5,5,4,5,5,4,2,2,3,3,4,3,2,3,5,5,6,2,6,2,5,6,6,1,4,7,1,1,1,1,Turkey,0,illegal
1569,5,4,5,4,4,4,4,4,4,2,4,3,4,3,4,3,2,2,3,2,4,4,4,4,4,4,4,8,1,1,1,1,Turkey,0,illegal
564,3,4,6,5,6,3,6,5,2,1,5,1,6,6,5,4,3,2,6,5,6,6,5,2,4,1,4,9,1,1,1,4,India,0,legal
1268,3,3,3,3,4,5,3,4,3,4,3,3,3,3,3,3,1,1,4,2,3,3,4,4,5,5,5,10,1,1,1,4,India,0,legal
2071,3,3,4,5,6,5,5,4,5,2,5,3,3,2,3,3,3,5,5,4,6,3,5,6,4,4,5,8,1,1,1,4,India,0,legal
2519,3,4,5,4,3,3,3,4,3,4,3,4,4,4,3,2,5,4,5,4,5,4,5,4,5,4,3,8,1,1,1,6,India,0,legal
2767,3,3,4,3,3,5,4,4,4,4,3,2,5,3,3,3,5,4,4,5,4,4,5,6,6,5,3,6,1,1,1,6,India,0,legal
3822,5,5,6,6,6,5,6,6,4,5,5,4,5,4,5,NA,7,7,7,6,6,5,7,5,6,3,3,7,1,1,1,4,Turkey,0,illegal
3850,5,5,6,5,4,6,3,3,3,3,3,3,2,2,5,4,6,6,6,6,7,3,6,2,3,2,2,3,1,1,1,2,Turkey,0,illegal
1399,6,5,4,3,5,5,4,6,5,5,6,2,2,3,4,2,5,6,5,7,2,4,5,7,1,2,1,1,1,1,1,7,USA,1,legal
6110,5,5,5,4,6,4,5,5,5,4,5,5,3,4,4,4,5,5,6,3,5,5,6,2,6,3,3,6,0,1,1,3,USA,1,legal
1179,6,4,5,5,4,6,5,4,5,4,5,3,5,4,5,4,6,6,6,4,5,4,5,4,4,3,3,4,0,1,1,2,USA,1,legal
2975,6,5,6,6,6,6,6,6,6,6,6,6,5,6,5,5,1,6,1,7,6,2,3,7,1,2,4,7,0,1,1,4,USA,1,legal
5538,6,5,6,4,6,5,3,4,5,2,3,5,5,3,5,3,5,5,6,1,5,3,3,5,6,6,3,4,0,1,1,2,USA,1,legal
1782,4,5,6,3,5,5,4,6,6,4,5,4,4,5,4,4,6,5,3,2,6,5,6,2,3,4,5,7,0,1,1,5,India,0,legal
572,6,5,5,6,6,6,5,1,5,1,5,3,6,4,4,5,3,5,6,5,7,6,6,5,5,3,4,7,0,1,1,4,Canada,1,illegal
1961,5,5,5,4,5,4,2,5,3,3,2,3,4,4,4,3,5,4,4,2,3,5,5,5,6,4,4,6,0,1,1,5,The Netherlands,1,illegal
2410,5,6,5,4,5,5,4,4,4,3,2,3,3,4,3,4,6,6,7,5,5,3,7,2,5,2,3,4,0,1,1,3,The Netherlands,1,illegal
6264,5,5,5,4,3,5,4,5,3,2,3,5,2,3,4,3,1,2,6,6,5,6,6,3,5,2,4,3,0,1,1,2,USA,1,legal
7129,5,5,6,5,5,5,4,5,5,1,4,3,5,4,4,4,5,1,7,2,6,4,7,1,6,2,4,4,0,1,1,1,USA,1,legal
177,6,6,6,5,6,6,6,5,5,5,4,6,5,5,5,3,3,5,6,4,3,6,6,1,5,5,4,7,0,1,1,3,USA,1,legal
4958,6,6,6,6,6,6,6,5,6,1,4,6,4,6,6,2,5,6,6,7,7,6,6,1,3,3,4,9,0,1,1,4,The Netherlands,1,illegal
5242,6,6,6,4,6,4,5,3,5,1,4,5,4,5,5,3,5,5,7,7,6,7,6,1,4,1,3,4,0,1,1,3,The Netherlands,1,illegal
3219,5,4,4,4,5,4,5,3,5,2,4,4,5,4,4,4,3,5,5,2,4,5,6,3,3,2,3,9,0,1,1,4,USA,1,legal
5116,5,5,5,5,5,5,4,3,5,2,5,5,4,5,5,1,3,6,7,4,4,5,6,4,4,3,3,8,0,1,1,3,USA,1,legal
6688,5,5,5,4,6,5,1,2,2,2,3,4,2,4,2,4,7,6,6,5,7,5,7,3,4,1,4,8,0,1,1,2,USA,1,legal
6950,5,5,5,5,6,5,3,4,3,1,3,3,2,2,2,4,1,4,6,2,5,6,4,2,6,2,3,6,0,1,1,5,USA,1,legal
1410,6,5,3,5,5,5,6,4,2,3,5,2,3,1,1,2,6,3,6,1,2,6,3,4,5,5,4,8,0,1,1,2,USA,1,legal
2779,6,5,4,5,6,5,5,4,6,3,4,3,3,3,4,4,5,6,5,2,3,2,4,5,5,4,3,9,0,1,1,4,Canada,1,illegal
2786,6,6,6,5,6,5,3,3,4,1,4,3,5,6,4,1,6,2,6,2,7,3,7,3,3,1,3,8,0,1,1,3,Canada,1,illegal
4053,6,6,6,6,6,6,6,4,6,6,5,2,4,4,5,5,7,1,4,7,7,1,7,1,1,6,4,8,0,1,1,2,Canada,1,illegal
4420,6,5,5,6,6,6,6,1,6,1,5,4,5,4,6,2,5,5,7,5,6,5,7,6,3,2,3,8,0,1,1,6,Canada,1,illegal
6990,6,5,6,4,5,4,5,5,2,4,4,5,3,3,3,3,7,6,6,6,7,5,7,4,5,7,3,7,0,1,1,5,The Netherlands,1,illegal
4449,3,3,4,5,3,5,5,3,4,2,5,4,2,2,4,4,7,3,6,2,7,2,6,5,2,1,3,4,0,1,1,4,UK,1,illegal
5082,5,4,6,4,6,4,6,4,5,2,5,4,4,6,5,3,5,7,6,3,7,3,5,5,5,4,3,10,0,1,1,1,USA,1,legal
5727,5,4,5,5,5,4,5,6,4,2,5,6,2,4,4,4,5,5,4,2,5,5,5,5,6,5,3,8,0,1,1,2,USA,1,legal
6144,5,5,5,5,5,5,5,3,5,6,5,5,3,5,5,3,6,5,5,3,4,2,1,5,NA,1,3,10,0,1,1,6,USA,1,legal
6440,5,5,5,5,6,5,4,5,4,4,5,5,3,5,5,4,6,5,5,2,7,4,5,3,5,2,4,10,0,1,1,3,USA,1,legal
268,6,6,6,4,6,5,5,3,4,4,4,2,2,2,6,3,6,7,5,5,6,5,6,6,5,1,4,7,0,1,1,2,USA,1,legal
465,6,4,6,5,5,5,2,4,3,3,4,2,2,2,2,4,4,5,5,5,5,3,5,3,5,3,4,9,0,1,1,5,USA,1,legal
1605,6,5,5,3,5,5,5,4,4,3,4,4,6,5,5,3,6,2,4,5,6,1,6,1,2,2,4,7,0,1,1,3,USA,1,legal
2324,6,5,6,6,6,6,5,6,6,1,5,5,4,3,6,3,5,7,4,7,7,3,7,6,2,1,3,5,0,1,1,2,USA,1,legal
2734,6,6,6,5,6,5,3,2,4,1,5,5,4,6,4,4,5,2,6,3,6,4,6,2,5,3,3,4,0,1,1,2,USA,1,legal
2783,6,6,6,5,6,5,5,4,4,2,4,2,2,2,4,5,6,4,5,1,7,2,5,3,3,1,4,8,0,1,1,1,USA,1,legal
5588,6,5,6,4,5,5,2,2,3,1,4,4,4,1,3,4,3,NA,6,4,6,3,4,3,2,2,3,7,0,1,1,2,USA,1,legal
5735,6,5,6,6,6,6,4,3,4,1,4,4,5,5,4,5,6,5,7,3,7,6,7,5,5,1,5,10,0,1,1,6,USA,1,legal
6358,6,6,6,6,6,6,6,5,6,5,6,6,5,6,6,3,4,3,5,5,5,4,5,4,3,6,3,2,0,1,1,6,USA,1,legal
6774,6,5,5,6,6,6,3,1,4,4,3,3,1,1,3,5,7,1,7,1,7,1,7,1,7,1,3,6,0,1,1,2,USA,1,legal
3445,5,5,5,3,5,5,3,4,3,2,2,2,4,5,4,2,6,1,7,1,6,5,7,1,6,2,3,8,0,1,1,4,India,0,legal
5529,5,4,5,5,5,5,3,5,5,1,5,3,5,3,5,3,6,4,7,3,2,5,6,1,4,6,3,7,0,1,1,4,Turkey,0,illegal
5779,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,5,7,6,6,3,6,4,3,8,0,1,1,4,Turkey,0,illegal
