sub,harm1,harm2,harm3,fairness1,fairness2,fairness3,Ingroup1,Ingroup2,Ingroup3,Authority1,Authority2,Authority3,Purity1,Purity2,Purity3,sise,E,A_R,C,N_R,O,E_R,A,C_R,N,O_R,mood,subjwell,cogref.1,cogref.2,cogref.3,politics,Country,Weird,Execution
3166,5,5,6,4,4,4,3,5,2,5,4,2,2,4,1,3,6,5,4,3,6,5,6,5,5,3,3,7,0,0,0,2,USA,1,legal
2394,5,4,6,5,6,4,4,4,3,2,4,2,3,3,3,2,3,4,6,5,6,7,7,6,5,1,4,8,0,0,0,4,USA,1,legal
6525,6,5,6,5,6,5,5,4,5,4,4,5,5,4,5,3,6,3,6,2,2,2,6,2,5,1,3,5,0,0,0,1,USA,1,legal
2612,2,3,3,3,4,3,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,9,0,0,0,3,India,0,legal
2669,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,4,6,3,6,4,6,3,5,2,5,3,4,9,0,0,0,4,Switzerland,1,illegal
3454,6,6,6,5,6,6,4,1,2,1,2,2,6,5,5,5,6,5,7,5,7,2,5,1,6,1,5,8,0,0,0,5,USA,1,legal
6219,5,4,5,4,4,4,5,5,5,3,4,4,5,4,5,4,6,4,6,2,6,2,5,2,6,6,5,10,1,1,0,6,USA,1,legal
4932,6,5,5,5,6,6,4,2,5,2,5,1,2,3,2,5,2,5,5,1,7,6,6,2,7,3,3,5,1,1,0,2,Belgium,1,illegal
6546,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,1,6,1,6,5,6,1,6,5,4,7,1,1,0,3,The Netherlands,1,illegal
5437,5,5,5,5,5,5,5,6,5,3,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,1,4,7,1,1,0,3,USA,1,legal
6204,6,6,6,6,5,4,5,4,5,4,4,5,4,4,4,2,3,5,6,5,6,6,6,2,6,5,3,7,1,1,0,3,USA,1,legal
7217,5,4,5,3,5,5,3,3,4,2,3,2,4,2,3,4,6,5,5,3,6,2,5,5,5,2,3,8,1,1,0,4,USA,1,legal
164,6,3,3,5,4,6,3,2,4,5,2,4,4,3,5,4,5,6,6,6,6,6,6,3,4,5,2,6,0,1,0,2,USA,1,legal
2638,5,5,5,5,6,5,5,6,6,6,6,6,5,6,6,5,3,1,7,2,7,7,7,1,7,1,3,8,0,1,0,5,USA,1,legal
4976,5,5,6,4,5,5,6,4,6,4,5,5,5,5,5,4,5,3,6,3,5,1,3,2,4,3,4,8,0,1,0,6,USA,1,legal
468,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,6,5,7,5,7,5,6,5,6,6,4,6,0,1,0,2,USA,1,legal
4475,6,2,5,5,5,5,3,2,2,1,6,2,5,4,3,5,4,4,5,6,4,5,3,1,6,4,3,10,0,1,0,5,USA,1,legal
